County,Year-Month,Precipitation,Avg Rel Hum (%),Avg Wind Speed (mph),Wind Run (miles),windeventcount,Avg Soil Temp (F),AQI_PM25,AQI_PM10,FIRE_Acres_Burned,fungicide_lbs_prd_used,rodent_lbs_prd_used,rate_per_100k,log1p_rate_per_100k
San Diego,2021-08,0.0766666666666666,66.48028673835125,3.2086021505376343,2388.4166666666665,0.0,79.30378197997776,64.0,27.5,109.4,3618.302,5861.2273,1.1842814873117904,0.7812869357093268
San Diego,2021-09,0.4466666666666667,65.50555555555555,3.222222222222222,2320.0333333333333,0.0,76.98633333333333,63.0,24.5,26.59,3944.3379,4474.9884,1.1539152953294367,0.767287253601381
San Diego,2021-10,0.87,58.25806451612903,3.112365591397849,2315.4500000000003,0.0,66.86075268817204,55.0,22.0,8.43,2389.2536,7201.9941,0.75915479955884,0.5648334661805071
San Diego,2021-11,0.1333333333333333,57.80555555555555,2.612777777777778,1879.216666666667,0.0,62.19055555555556,62.0,29.5,12.93,1792.5517,5194.5377,1.2753800632588512,0.8221470992229382
San Diego,2021-12,2.9599999999999995,70.17629928315412,2.684923835125448,1955.15,0.1666666666666666,55.47085573476702,62.0,29.0,4.07,1955.1392,2407.7635,1.305746255241205,0.8354043790366139
San Diego,2022-01,0.2183333333333333,62.35698924731182,2.419569892473118,1267.5166666666669,0.0,55.25534050179211,59.0,19.0,42.0,2570.2048,3045.4384,1.125882829069686,0.7541871650753195
San Diego,2022-02,0.3533333333333333,48.375,3.279464285714286,1468.9333333333334,0.1666666666666666,54.81875,54.5,22.0,162.0,2067.1805,4126.5101,0.9433072351664936,0.6643912820156883
San Diego,2022-03,0.8316666666666667,58.77784946236559,2.9368951612903222,1684.9666666666665,0.0,59.694637096774194,58.0,21.0,58.0,1931.0384,5473.7946,0.9433072351664936,0.6643912820156883
San Diego,2022-04,0.165,62.36620689655173,3.128,1877.7166666666665,0.0,64.92,56.5,20.5,57.0,2344.9408,5466.1313,0.8520194382148976,0.6162766319652881
San Diego,2022-05,0.03,64.10052862969437,3.6494549499443822,2246.233333333333,0.0,70.07305895439377,62.0,26.0,626.0,2406.033,2668.4571,1.2475998916718145,0.8098629320586342
San Diego,2022-06,0.1233333333333333,65.58824049513706,3.804321839080459,2273.616666666667,0.0,76.09142528735632,62.5,29.5,435.0,2197.6568,4715.2116,1.095453563419154,0.7397700279938819
San Diego,2022-07,0.2033333333333333,67.20645161290324,3.7251612903225806,2311.583333333333,0.0,78.78028673835125,56.0,18.0,60171.0,2731.7631,4418.5252,1.156312094720218,0.7683993989342967
San Diego,2022-08,0.1433333333333333,67.1488320355951,3.605806451612904,2234.016666666667,0.0,81.9393870967742,59.0,39.0,123.0,4244.8792,8478.5304,1.4910340168760707,0.9126978920985127
San Diego,2022-09,4.185,67.44659593280282,3.396666666666667,2037.6833333333336,0.0,79.08892592592593,56.5,42.0,87331.0,2640.2045,23726.6481,1.03459503211809,0.7102967976749771
San Diego,2022-10,0.695,71.5047311827957,3.2141935483870965,1991.5166666666669,0.0,71.9321198156682,63.0,51.0,20.0,2578.56,15622.7187,0.8215901725643656,0.5997098408057417
San Diego,2022-11,1.76,55.74363636363637,3.7489629629629633,2234.983333333333,0.3333333333333333,58.01815384615385,59.5,55.5,14.0,1825.4839,13451.5136,0.8215901725643656,0.5997098408057417
San Diego,2022-12,0.8783333333333333,67.07817836812144,3.040407470288625,1829.7333333333336,0.0,54.359614776652414,65.0,45.0,4.0,2155.984,8856.0394,1.095453563419154,0.7397700279938819
San Diego,2023-01,4.1433333333333335,69.03870967741936,3.868709677419355,2232.633333333333,0.1666666666666666,53.4963870967742,56.0,31.0,110.0,1913.7287,1674.5856,1.0011841277729387,0.6937390692457418
San Diego,2023-02,2.545,59.55661375661376,4.231428571428571,2371.116666666667,0.6666666666666666,52.736428571428576,55.0,48.5,28.0,2035.8808,2601.3534,0.8191506499960408,0.5983697163352989
San Diego,2023-03,3.965,71.2258064516129,3.9483870967741934,2449.35,0.3333333333333333,57.02451612903226,53.0,29.0,6.0,2029.8886,8203.5913,1.3349121703639184,0.847974276008247
San Diego,2023-04,0.3966666666666666,66.83333333333333,3.261333333333333,1956.45,0.1666666666666666,63.23588505747127,66.0,42.5,72.0,1730.7653,8665.2039,1.304573257401102,0.8348955215215557
San Diego,2023-05,0.5633333333333334,70.7869623655914,3.264247311827957,2094.083333333333,0.0,69.1916129032258,56.0,21.0,700.0,2100.1781,4861.9289,1.3349121703639184,0.847974276008247
San Diego,2023-06,0.8683333333333333,69.4484126984127,3.0238888888888886,2179.65,0.0,72.61739463601533,52.5,21.0,315.0,2441.9311,4947.1723,1.0011841277729387,0.6937390692457418
San Diego,2023-07,0.94,67.36860215053764,2.8268817204301078,2103.766666666667,0.0,78.02043010752688,57.0,26.0,12215.0,3492.8974,3433.19,1.3349121703639184,0.847974276008247
San Diego,2023-08,2.075,70.24480286738351,3.2263440860215056,2400.4666666666667,0.1666666666666666,78.59408602150538,57.0,32.0,727.0,3577.1219,4297.2795,1.1528786925870205,0.7668058733610713
San Diego,2023-09,0.1466666666666666,69.05724637681159,2.8911111111111114,2081.1166666666663,0.0,76.10095238095238,62.5,43.5,77.0,2728.3131,5809.1241,0.940506301847306,0.6629489193594564
San Diego,2023-10,0.7183333333333333,59.531844499586434,2.99247311827957,2224.333333333333,0.0,69.30248904818798,67.0,54.0,2627.0,2681.2616,1668.5393,1.2135565185126531,0.7946005064139603
San Diego,2023-11,1.3866666666666667,44.36825396825397,2.9655555555555555,2135.6,0.0,62.04420634920635,63.5,52.5,148.0,6528.2257,5608.1646,0.7888117370332245,0.5815515653576226
San Diego,2023-12,1.32,56.52150537634409,2.92741935483871,2180.65,0.0,57.48633667037449,70.0,48.0,80.0,2084.3303,1614.4069,1.395589996289551,0.8736295455310055
San Diego,2024-01,2.4483333333333337,57.623449131513645,2.854301075268817,2123.7833333333333,0.1666666666666666,55.26957387495022,63.0,34.0,4.0,3412.765782852691,2706.963224861961,1.355973878519204,0.856954178511919
San Diego,2024-02,2.6283333333333334,61.5933908045977,2.8522988505747127,1985.5,0.0,57.5316091954023,56.0,28.0,3.0,2980.806446209093,2526.0656476154227,1.7476996656469743,1.010764076410216
San Diego,2024-03,2.151666666666667,61.333333333333336,3.1881720430107525,2373.9166666666665,0.1666666666666666,61.21523297491039,54.0,29.0,83.0,3202.209753674657,4348.921575365439,1.0245135971033987,0.705329472744827
San Diego,2024-04,0.3566666666666667,66.77333333333334,3.0400000000000005,2189.9,0.0,66.45597222222223,58.5,29.5,26.0,2887.438476623473,4389.404472650326,1.3861066313751864,0.8696630131109951
San Diego,2024-05,0.1266666666666666,67.13279569892474,2.999462365591398,2230.483333333333,0.0,71.05810931899642,58.0,31.0,343.0,2968.926847848861,5332.820632930025,1.2053101142392926,0.7908681403881018
San Diego,2024-06,0.0483333333333333,69.7,3.042777777777778,2188.383333333333,0.0,77.04152046783626,61.5,33.0,51622.0,3076.260178584219,7519.110838003585,1.506637642799116,0.91894227055604
San Diego,2024-07,0.0066666666666666,70.72043010752688,2.755376344086021,2051.233333333333,0.0,79.7885028949545,58.0,32.0,16685.0,3668.7653858456006,5700.848674498578,1.4765048899431334,0.9068482475821157
San Diego,2024-08,1.2716666666666667,68.24193548387096,3.0107526881720426,2239.233333333333,0.0,80.07225422427035,62.0,43.0,430056.0,4133.161317136612,5805.7448998842065,1.838097924214921,1.0431340827989992
San Diego,2024-09,0.04,66.97587680518716,3.206851851851852,2265.616666666667,0.0,77.83254576415497,61.5,33.5,78695.0,3987.819909591767,5691.462703111146,1.506637642799116,0.91894227055604
San Diego,2024-10,0.175,66.40203106332139,2.736559139784946,1800.1166666666668,0.0,69.52071855265403,72.0,59.0,538.0,3928.906367810252,5588.753130915859,1.4765048899431334,0.9068482475821157
San Diego,2024-11,0.2016666666666666,56.42222222222222,3.1894444444444443,2294.516666666667,0.1666666666666666,60.312,67.5,54.0,4584.0,3135.3423423187464,3388.1185291090815,2.07915994706278,1.124656815323812
San Diego,2024-12,0.3966666666666667,65.63944892473118,3.028259408602151,2128.866666666667,0.1666666666666666,57.192258064516125,81.0,51.0,127.0,2895.3808201084735,2459.6671407922054,1.6874341599350096,0.9885868945248512
San Luis Obispo,2006-08,0.0,74.78225806451613,3.665322580645161,2725.45,0.0,70.36451612903225,36.0,19.0,0.0,13261.4693,12690.5615,9.213122557562825,2.3236734186769836
San Luis Obispo,2006-09,0.0225,71.64166666666667,3.6366666666666654,2618.95,0.0,67.45444444444445,44.0,23.5,0.0,11142.5215,4549.7174,5.758201598476764,1.9107568189328015
San Luis Obispo,2006-10,0.05,67.20967741935485,3.475806451612903,2588.7,0.0,61.63729032258065,48.0,15.0,6.46,7173.2101,5145.3601,9.213122557562825,2.3236734186769836
San Luis Obispo,2006-11,0.3675,65.35833333333333,3.9475,2841.775,0.0,58.314827586206896,57.0,15.5,8.58,2081.9652,1203.3124,6.142081705041881,1.9660042891854923
San Luis Obispo,2006-12,2.085,61.96774193548387,3.9225806451612906,2918.1,0.25,51.07569124423963,66.0,15.0,3.0,2029.018,769.5185,9.213122557562825,2.3236734186769836
San Luis Obispo,2007-01,0.805,59.28225806451613,3.864516129032258,2872.425,0.25,49.05262096774193,59.0,29.0,4.1,1790.5653,758.9274,6.850097043041444,2.0605258938887907
San Luis Obispo,2007-02,1.9675,75.40178571428572,3.8017857142857134,2553.325,0.0,52.94375,32.5,18.0,0.0,4789.315,1724.1868,6.850097043041444,2.0605258938887907
San Luis Obispo,2007-03,0.465,68.12903225806451,3.841935483870968,2859.925,0.0,57.13580069124424,41.0,28.5,46.6,13439.9678,5491.0578,3.425048521520722,1.4872812437151917
San Luis Obispo,2007-04,0.6100000000000001,70.625,4.170833333333333,3003.675,0.0,60.18333333333334,33.0,44.0,32.300000000000004,19100.5787,12089.8634,2.6639266278494502,1.2985354214611187
San Luis Obispo,2007-05,0.1649999999999999,69.58870967741936,4.122580645161291,3067.95,0.0,64.5008064516129,42.0,43.0,4.72,20642.1436,12280.7952,0.0,0.0
San Luis Obispo,2007-06,0.0,68.53333333333333,4.065,2930.975,0.0,67.42416666666666,37.0,50.5,137.06,15342.2485,16450.4728,1.1416828405069073,0.7615918940723186
San Luis Obispo,2007-07,0.0,69.5241935483871,3.9951612903225806,2975.225,0.0,69.94354838709678,28.0,18.5,108.07,13580.7119,17516.3471,1.522243787342543,0.9251488971622904
San Luis Obispo,2007-08,0.0725,69.83064516129032,3.6225806451612894,2694.425,0.0,69.33790322580646,34.0,20.5,11.55,11277.0234,12624.6908,1.9028047341781784,1.0656774193210863
San Luis Obispo,2007-09,0.0,66.91666666666666,3.724166666666666,2680.05,0.0,67.38881578947368,31.0,28.0,11.3,11356.4591,21016.2025,1.1416828405069073,0.7615918940723186
San Luis Obispo,2007-10,0.36,63.5,3.878225806451613,2888.55,0.25,61.49677419354839,33.0,27.0,62.1,7534.7097,9933.3558,4.566731362027629,1.7168080526081968
San Luis Obispo,2007-11,0.09,63.458333333333336,3.7,2659.675,0.0,57.74583333333333,68.0,26.5,1.85,4636.1015,3986.4276,1.522243787342543,0.9251488971622904
San Luis Obispo,2007-12,2.7025,64.17170698924731,4.176915322580645,2916.9,0.25,50.618389976958525,48.0,39.0,0.0,2160.0648,1110.2444,0.0,0.0
San Luis Obispo,2008-01,8.692499999999999,70.08064516129033,4.614516129032258,3432.625,1.5,49.95090322580646,48.0,16.0,1.0,2939.4191,2189.8062,2.252607393057464,1.1794569494781644
San Luis Obispo,2008-02,3.0375,68.86206896551724,4.258620689655173,2963.75,0.0,51.26120689655173,38.5,21.5,1.6,5306.8857,3010.1752,1.126303696528732,0.7543851185084
San Luis Obispo,2008-03,0.125,63.20967741935484,4.268548387096774,3175.4,0.0,55.19460511679644,34.5,40.0,1.45,13865.0881,4007.4804,1.8771728275478867,1.0568081549055368
San Luis Obispo,2008-04,0.2025,62.475,4.3725000000000005,3148.05,0.0,58.25333333333333,34.0,39.0,4.85,24742.6197,8014.3162,1.126303696528732,0.7543851185084
San Luis Obispo,2008-05,0.0125,69.13709677419355,4.009677419354839,2983.175,0.0,62.774193548387096,46.0,26.0,32.0,25223.2208,9953.3792,1.8771728275478867,1.0568081549055368
San Luis Obispo,2008-06,0.0,61.58218390804598,4.144166666666667,2985.625,0.0,66.76916666666666,57.0,53.0,329.7,17943.6449,13249.6261,2.252607393057464,1.1794569494781644
San Luis Obispo,2008-07,0.0,72.16935483870967,3.8322580645161297,2852.725,0.0,68.99536290322581,52.0,20.0,52.62,19275.1119,12580.9048,1.126303696528732,0.7543851185084
