County,Year-Month,Precipitation,Avg Rel Hum (%),Avg Wind Speed (mph),Wind Run (miles),windeventcount,Avg Soil Temp (F),AQI_PM25,AQI_PM10,FIRE_Acres_Burned,fungicide_lbs_prd_used,rodent_lbs_prd_used,rate_per_100k
Kern,2024-06,0.175,34.33333333333333,3.9608333333333334,2853.225,0.0,82.30421568627452,57.5,48.5,23479.0,,,35.3753432768888
Kern,2024-07,0.2575,33.693548387096776,3.5960729312762973,2455.675,0.0,86.9207997311828,68.0,52.0,45535.0,,,34.28687117606145
Kern,2024-08,0.01,35.314516129032256,3.5943548387096773,2671.825,0.0,85.01479663394109,57.0,58.0,104321.0,,,36.79035700796435
Kern,2024-09,0.0025,38.55833333333334,3.3125,2384.425,0.0,82.44592105263158,58.0,63.0,357786.0,,,38.42306515920537
Kern,2024-10,0.015,41.75806451612903,2.975806451612903,2214.775,0.0,75.43285229202037,62.0,70.0,6374.0,,,42.341564722183826
Kern,2024-11,0.8525,56.75833333333333,3.013333333333333,2169.775,0.0,61.98833333333334,66.0,42.0,20671.0,,,36.02842653738521
Kern,2024-12,0.4049999999999999,71.20967741935485,2.786290322580645,2072.45,0.0,55.082258064516125,91.0,44.0,8372.0,,,36.68150979788161
Los Angeles,2001-01,3.9025,63.72822580645161,2.891935483870967,2151.675,0.0,52.22338709677419,96.0,23.0,,678.7113,223.625,0.1142734380535119
Los Angeles,2001-02,7.41,71.66071428571428,3.289285714285714,2213.05,0.0,53.43660714285714,66.0,17.5,,341.0448,230.625,0.0519424718425054
Los Angeles,2001-03,1.1225,77.29005376344085,3.314516129032258,2465.575,0.0,59.69032258064516,85.0,22.0,,550.2039,456.4113,0.0207769887370021
Los Angeles,2001-04,1.3050000000000002,70.875,3.720833333333333,2677.725,0.0,61.8975,61.0,20.0,,462.0653,561.5,0.0519424718425054
Los Angeles,2001-05,0.045,77.46774193548387,3.586290322580645,2668.2,0.0,68.90322580645162,85.0,31.0,,769.1122,917.75,0.0623309662110065
Los Angeles,2001-06,0.025,72.75507246376812,3.44,2478.725,0.0,72.84,74.0,29.5,,717.5481,627.6978,0.0519424718425054
Los Angeles,2001-07,0.015,76.0241935483871,3.485483870967742,2593.65,0.0,74.50322580645161,72.0,24.0,,993.7726,398.0,0.1038849436850108
Los Angeles,2001-08,0.0825,75.20161290322581,3.239516129032258,2415.225,0.0,74.37016129032259,74.0,29.0,,610.1104,395.1816,0.0623309662110065
Los Angeles,2001-09,0.3,74.75862068965517,3.0658333333333334,2132.35,0.0,72.03833333333333,73.0,32.0,,680.3117,417.5333,0.0831079549480087
Los Angeles,2001-10,0.11,80.16129032258064,2.7338709677419355,2035.0,0.0,68.2375960061444,94.0,40.0,,3063.8864,336.4842,0.0831079549480087
Los Angeles,2001-11,1.135,74.61666666666667,2.703333333333333,1945.975,0.0,61.76166666666666,99.0,19.0,,755.691,259.5,0.0623309662110065
Los Angeles,2001-12,1.0375,63.89516129032258,2.7419354838709675,2040.575,0.0,53.26021505376344,87.0,15.0,,328.6503,31.5242,0.0727194605795076
Los Angeles,2002-01,0.98,58.95161290322581,2.9411290322580643,2188.075,0.0,53.71397849462366,82.0,20.0,,238.332,40.75,0.0927269799348088
Los Angeles,2002-02,0.3,55.25165343915344,3.1982142857142857,2151.3,0.0,54.74761904761905,83.5,20.0,,304.3226,327.3986,0.0824239821642745
Los Angeles,2002-03,0.4275,62.954236188357434,3.766370967741936,2780.45,0.25,58.50211021505376,60.0,18.0,,323.4122,112.5,0.1030299777053431
Los Angeles,2002-04,0.0825,75.54166666666666,3.7333333333333334,2685.775,0.0,63.22,63.5,20.0,,422.389,180.045,0.0515149888526715
Los Angeles,2002-05,0.2025,73.90322580645162,3.832258064516129,2851.6499999999996,0.0,66.8016129032258,70.0,29.0,,1223.2394,1281.817,0.0824239821642745
Los Angeles,2002-06,0.02,76.625,3.8116666666666665,2743.775,0.0,72.26583333333332,70.0,31.0,,481.6346,1414.706,0.0927269799348088
Los Angeles,2002-07,0.0,75.5,3.733870967741935,2780.175,0.0,74.08870967741936,70.0,31.0,,476.0397,492.9375,0.0927269799348088
Los Angeles,2002-08,0.0,75.41935483870968,3.2548387096774194,2421.075,0.0,72.70322580645161,82.0,37.0,,734.644,1550.5,0.0927269799348088
Los Angeles,2002-09,0.0,69.90833333333333,2.966666666666667,2132.625,0.0,71.39201754385965,75.5,37.0,,1029.5959,220.0,0.0412119910821372
Los Angeles,2002-10,0.0275,77.62096774193549,2.854032258064516,2121.7749999999996,0.0,64.84408602150539,94.0,35.0,,609.4951,736.0,0.0721209843937401
Los Angeles,2002-11,1.895,59.65833333333333,2.8675,2064.15,0.0,60.22444444444445,74.5,25.0,,447.1312,749.0,0.0618179866232058
Los Angeles,2002-12,3.5625,72.49193548387098,2.899193548387097,2157.025,0.0,57.5708064516129,86.0,18.0,,496.9074,34.0,0.1030299777053431
Los Angeles,2003-01,0.0424999999999999,60.46774193548387,2.8483870967741938,2117.2,0.0,56.677374551971326,90.0,22.0,,273.2453,160.6947,0.102384064125187
Los Angeles,2003-02,5.98,69.15178571428571,3.441071428571429,2311.775,0.0,56.872321428571425,65.0,19.0,,365.7974,128.3125,0.0614304384751122
Los Angeles,2003-03,4.8625,68.10483870967742,3.550806451612903,2645.7,0.25,59.72096774193548,66.0,17.0,,493.3009,279.875,0.0614304384751122
Los Angeles,2003-04,1.4575,70.39166666666667,3.980833333333333,2866.1,0.0,62.09916666666667,52.0,13.0,,909.2081,444.0,0.0716688448876309
